iter	Passed	Remaining
0	2	2024
1	4	2246
2	6	2005
3	8	2064
4	9	1942
5	11	1975
6	14	2091
7	16	2036
8	18	1984
9	20	2034
10	23	2073
11	24	2056
12	26	2024
13	28	1981
14	29	1951
15	32	1968
16	33	1951
17	36	1974
18	38	1965
19	41	2014
20	43	2049
21	47	2106
22	49	2096
23	52	2138
24	56	2190
25	58	2186
26	62	2243
27	64	2240
28	67	2263
29	70	2277
30	73	2300
31	76	2303
32	79	2320
33	81	2313
34	83	2304
35	86	2313
36	88	2312
37	90	2298
38	92	2285
39	94	2277
40	96	2267
41	99	2259
42	101	2250
43	103	2250
44	106	2251
45	108	2252
46	111	2256
47	113	2243
48	166	3237
49	168	3207
50	171	3185
51	172	3152
52	174	3122
53	177	3103
54	178	3074
55	180	3045
56	182	3012
57	184	3001
58	186	2976
59	188	2948
60	190	2938
61	192	2914
62	194	2892
63	197	2888
64	199	2863
65	201	2849
66	203	2838
67	206	2828
68	208	2806
69	210	2797
70	212	2777
71	214	2759
72	216	2752
73	218	2736
74	221	2729
75	224	2727
76	226	2710
77	227	2691
78	229	2672
79	230	2654
80	233	2649
81	235	2639
82	237	2629
83	239	2612
84	241	2595
85	242	2580
86	245	2571
87	246	2557
88	248	2546
89	251	2539
90	252	2524
91	254	2509
92	256	2504
93	258	2491
94	260	2478
95	262	2471
96	264	2458
97	266	2455
98	268	2447
99	271	2439
100	272	2427
101	274	2420
102	276	2408
103	277	2394
104	279	2383
105	281	2377
106	283	2364
107	285	2359
108	287	2350
109	289	2340
110	291	2334
111	293	2323
112	294	2313
113	297	2308
114	298	2298
115	300	2288
116	301	2277
117	303	2267
118	304	2257
119	306	2247
120	308	2243
121	310	2234
122	312	2225
123	313	2216
124	316	2214
125	318	2206
126	319	2198
127	322	2197
128	325	2196
129	327	2188
130	329	2182
131	331	2181
132	333	2172
133	334	2163
134	336	2155
135	338	2148
136	339	2141
137	341	2134
138	343	2127
139	346	2125
140	347	2119
141	349	2112
142	352	2110
143	354	2109
144	356	2103
145	359	2101
146	361	2095
147	362	2089
148	365	2089
149	368	2087
150	370	2084
151	372	2077
152	374	2074
153	376	2068
154	379	2068
155	380	2061
156	383	2059
157	385	2053
158	387	2047
159	388	2041
160	390	2036
161	392	2030
162	394	2028
163	396	2022
164	398	2015
165	399	2009
166	401	2003
167	404	2001
168	405	1994
169	407	1991
170	409	1985
171	411	1982
172	413	1977
173	416	1975
174	417	1970
175	420	1969
176	422	1963
177	424	1958
178	426	1957
179	428	1952
180	430	1949
181	433	1948
182	435	1944
183	438	1942
184	439	1936
185	441	1931
186	443	1928
187	446	1926
188	447	1921
189	449	1916
190	452	1914
191	454	1912
192	456	1906
193	458	1903
194	459	1898
195	461	1893
196	464	1891
197	465	1886
198	468	1883
199	470	1881
200	472	1877
201	474	1875
202	476	1870
203	478	1868
204	480	1862
205	482	1858
206	483	1853
207	486	1851
208	488	1846
209	490	1843
210	492	1842
211	495	1840
212	496	1835
213	499	1833
214	501	1831
215	503	1827
216	505	1822
217	506	1818
218	508	1814
219	510	1810
220	512	1805
221	513	1799
222	516	1798
223	517	1794
224	519	1789
225	522	1788
226	524	1786
227	527	1784
228	528	1780
229	530	1776
230	533	1775
231	535	1771
232	537	1768
233	539	1765
234	541	1762
235	543	1758
236	545	1755
237	547	1752
238	549	1750
239	551	1746
240	553	1743
241	555	1741
242	558	1738
243	560	1736
244	621	1914
245	623	1912
246	625	1906
247	627	1901
248	628	1895
249	631	1893
250	633	1890
251	635	1885
252	636	1880
253	639	1877
254	640	1872
255	643	1869
256	645	1866
257	648	1865
258	650	1860
259	651	1855
260	653	1850
261	655	1846
262	657	1843
263	660	1841
264	662	1836
265	663	1831
266	665	1828
267	667	1823
268	669	1818
269	671	1815
270	673	1811
271	675	1807
272	677	1805
273	679	1801
274	682	1798
275	683	1793
276	685	1788
277	686	1783
278	688	1778
279	690	1774
280	692	1770
281	694	1768
282	696	1764
283	698	1760
284	700	1756
285	702	1754
286	704	1750
287	706	1746
288	707	1741
289	709	1737
290	711	1734
291	714	1732
292	716	1728
293	718	1725
294	720	1721
295	722	1717
296	724	1715
297	726	1712
298	728	1707
299	730	1703
300	731	1699
301	733	1694
302	735	1691
303	736	1687
304	738	1683
305	741	1681
306	742	1677
307	745	1674
308	746	1670
309	749	1668
310	751	1663
311	753	1660
312	754	1656
313	757	1654
314	758	1650
315	761	1647
316	762	1643
317	765	1640
318	766	1636
319	768	1632
320	770	1628
321	771	1625
322	773	1621
323	775	1617
324	777	1614
325	778	1610
326	781	1607
327	782	1603
328	784	1599
329	787	1598
330	789	1594
331	792	1594
332	794	1590
333	795	1587
334	797	1583
335	799	1579
336	801	1576
337	803	1573
338	804	1569
339	806	1566
340	809	1564
341	811	1560
342	813	1558
343	815	1554
344	816	1550
345	818	1547
346	821	1545
347	823	1543
348	825	1540
349	828	1539
350	831	1538
351	834	1535
352	835	1531
353	838	1529
354	839	1526
355	842	1524
356	845	1522
357	847	1520
358	850	1518
359	852	1516
360	854	1512
361	856	1508
362	857	1505
363	861	1504
364	863	1501
365	864	1498
366	867	1496
367	869	1493
368	871	1489
369	873	1487
370	876	1485
371	878	1483
372	880	1480
373	882	1476
374	884	1474
375	886	1471
376	888	1468
377	890	1466
378	892	1462
379	894	1459
380	895	1455
381	898	1453
382	900	1451
383	902	1447
384	904	1444
385	906	1442
386	909	1440
387	911	1438
388	913	1434
389	915	1431
390	917	1428
391	919	1425
392	920	1422
393	922	1418
394	923	1415
395	926	1412
396	927	1409
397	930	1407
398	933	1405
399	935	1403
400	937	1399
401	939	1397
402	940	1393
403	942	1390
404	943	1386
405	945	1383
406	947	1380
407	949	1377
408	951	1375
409	953	1371
410	955	1369
411	957	1366
412	958	1363
413	961	1361
414	963	1358
415	965	1355
416	967	1352
417	969	1349
418	970	1345
419	972	1342
420	973	1339
421	975	1336
422	977	1333
423	979	1331
424	981	1328
425	983	1325
426	985	1322
427	987	1320
428	989	1317
429	991	1314
430	993	1311
431	995	1308
432	997	1305
433	999	1303
434	1001	1300
435	1003	1297
436	1005	1295
437	1008	1293
438	1010	1290
439	1012	1288
440	1014	1286
441	1016	1283
442	1019	1281
443	1021	1279
444	1072	1337
445	1074	1334
446	1076	1332
447	1078	1328
448	1080	1326
449	1082	1322
450	1084	1319
451	1086	1317
452	1087	1313
453	1089	1310
454	1092	1308
455	1093	1304
456	1096	1302
457	1097	1299
458	1100	1296
459	1101	1293
460	1103	1289
461	1104	1286
462	1106	1283
463	1108	1280
464	1110	1277
465	1112	1274
466	1113	1271
467	1115	1268
468	1117	1265
469	1119	1262
470	1121	1259
471	1123	1256
472	1125	1254
473	1127	1250
474	1129	1247
475	1130	1244
